own_mmsi;obst_mmsi;own_speed;obst_speed;r_maneuver_own;r_maneuver_obst;r_cpa;COLREG;pre_man_t_cpa_own
257056010;219339000;4.8946862599;3.4099169147;6520.1456456125;6520.1456456125;1013.904497475;3;
219339000;257056010;3.4099169147;4.8946862599;6520.1456456125;6520.1456456125;1013.904497475;3;
257056010;219339000;4.8946862599;3.4099169147;6520.1456456125;6520.1456456125;1013.904497475;3;
219007027;319137600;1.2904651331;7.1024146412;11822.4800545402;11822.4800545402;1014.1679989035;3;
319137600;219007027;7.1024146412;1.2904651331;11822.4800545402;11822.4800545402;1014.1679989035;3;
219007027;319137600;1.2904651331;7.1024146412;11822.4800545402;11822.4800545402;1014.1679989035;3;
319137600;219007027;7.1024146412;1.2904651331;11822.4800545402;11822.4800545402;1014.1679989035;3;
219007027;319137600;1.2904651331;7.1024146412;11828.2251031167;11828.2251031167;1014.1723719369;3;
319137600;219007027;7.1024146412;1.2904651331;11828.2251031167;11828.2251031167;1014.1723719369;3;
219007027;319137600;1.2904651331;7.1024146412;11828.2251031167;11828.2251031167;1014.1723719369;3;
319137600;219007027;7.1024146412;1.2904651331;11828.2251031167;11828.2251031167;1014.1723719369;3;
309998000;371839000;5.5590813079;6.4131394676;12047.6085875994;10631.9200942257;1014.3650871358;3;63
371839000;309998000;6.4131394676;5.5590813079;10631.9200942257;12047.6085875994;1014.3650871358;3;
309998000;371839000;5.5590813079;6.4131394676;12047.6085875994;10631.9200942257;1014.3650871358;3;63
371839000;309998000;6.4131394676;5.5590813079;10631.9200942257;12047.6085875994;1014.3650871358;3;
257340000;219011018;4.4399541171;3.6450341022;1376.4147957647;1376.4147957647;1014.7194538393;-1;0
258407000;258265000;5.3994896557;2.4349030671;3205.2400658921;3205.2400658921;1014.7599223462;-1;
258407000;258265000;5.3994896557;2.4349030671;3205.2400658921;3205.2400658921;1014.7599223462;-1;
220461000;257882000;7.6128399884;2.9409743924;6492.7567042051;6492.7567042051;1015.3763932651;3;
257882000;220461000;2.9409743924;7.6128399884;6492.7567042051;6492.7567042051;1015.3763932651;3;
220461000;257882000;7.6128399884;2.9409743924;6492.7567042051;6492.7567042051;1015.3763932651;3;
257882000;220461000;2.9409743924;7.6128399884;6492.7567042051;6492.7567042051;1015.3763932651;3;
314464000;241279000;5.0222341178;2.6257357575;2040.7346961328;3365.8148686462;1015.4077998519;-2;28
220461000;257882000;7.6128399884;2.9409743924;6492.5886401342;6492.5886401342;1015.4732886689;3;
257882000;220461000;2.9409743924;7.6128399884;6492.5886401342;6492.5886401342;1015.4732886689;3;
220461000;257882000;7.6128399884;2.9409743924;6492.5886401342;6492.5886401342;1015.4732886689;3;
257882000;220461000;2.9409743924;7.6128399884;6492.5886401342;6492.5886401342;1015.4732886689;3;
219347000;305641000;9.3725347222;3.704146149;3075.5783618695;3075.5783618695;1015.491102866;-2;
205453000;219455000;8.3645451389;8.44975;7415.4563514325;6421.8350025518;1015.530994111;3;8
